,Longitude,Latitude,Rank,Officer Gender,Officer Race,Years of SPD Service,Number of Rounds,Subject Gender,Subject Race,Subject Weapon,Fatal,On-duty,Disposition,Disciplined,Key Phrase,Sentiment,Negativity
0,-122.2737411,47.54381502,Officer,0,White,20,1,0,Asian,1,1,1,-1,Missing,"['SWAT', 'subject', 'month old child hostage', 'Hostage Negotiation Team', 'Seattle Police Officers', 'HNT', 'Special Weapons', 'block of Rainier Avenue South', 'reported domestic disturbance', 'K9 Officer', 'Tactics', 'round', 'hour', 'scene']","{'positive': 0.13, 'neutral': 0.03, 'negative': 0.84}",0.84
1,-122.3345125,47.54417731,Officer,0,White,5,2,0,White,0,1,1,1,No,"['subject', 'officers’ firearms', 'Avenue South Bridge', 'duty Patrol Officer', 'area', 'medics', 'attempts', 'Harborview Medical Center', 'bushes', 'steep terrain', 'custody', 'suicidal person', 'rounds']","{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}",0.98
2,-122.3357251,47.61462023,Officer,0,White,15,1,0,White,1,1,1,1,No,"['Federal Courthouse', 'male subject', 'lobby', 'courthouse security', 'SWAT Officer', 'Patrol Officer', 'yellow backpack', 'fragmentation grenade', 'Seattle Police Officers', 'Stewart', 'verbal commands', 'secure area', 'access', 'chest', 'minutes', 'positions', 'building', 'rounds', 'scene']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",1
3,-122.3357251,47.61462023,Officer,0,White,18,1,0,White,1,1,1,1,No,"['Federal Courthouse', 'male subject', 'lobby', 'courthouse security', 'SWAT Officer', 'Patrol Officer', 'yellow backpack', 'fragmentation grenade', 'Seattle Police Officers', 'Stewart', 'verbal commands', 'secure area', 'access', 'chest', 'minutes', 'positions', 'building', 'rounds', 'scene']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",1
4,-122.3114744,47.61290843,Officer,0,White,4,1,0,Black or African American,1,0,1,1,No,"['subject', 'uniformed Patrol Officer', 'burglary', 'black pants', 'black male', 'marked police vehicle', 'Seattle Police Officers', 'dark green sweatshirt', 'response', 'gunshot wound', 'Harborview Medical Center', 'block of East Union', 'pepper spray', 'report', 'screwdriver', 'round', 'waistline', 'physical altercation', 'home', 'time', 'left arm', 'Assault', 'person', 'crime', 'progress', 'foot', 'description']","{'positive': 0.0, 'neutral': 0.05, 'negative': 0.95}",0.95
5,-122.3234439,47.60412808,Officer,0,White,5,1,1,White,0,0,1,0,Yes,"['unrelated subject', 'Seattle Police Officers', 'Avenue South', 'Patrol Officer', 'ride', 'marked Seattle Police patrol car', 'South Massachusetts', 'area of Harborview Medical Center', 'East Jefferson', 'Auto Theft', 'scene', 'vehicle', 'driver’s', 'Eluding', 'rounds', 'domestic disturbance', 'cab']","{'positive': 0.17, 'neutral': 0.08, 'negative': 0.75}",0.75
6,-122.3462945,47.61177027,Officer,0,Hispanic/Latino,11,1,0,White,1,0,1,1,No,"['subject', 'Blanchard', 'intersection of Western Avenue', 'Seattle Police Officers', 'Assault', 'group of people', 'area', 'Harborview Medical Center', 'handgun', 'rounds', 'total', 'Drive', 'Shooting', 'bar closing', 'custody', 'vehicle', 'left leg', 'motorcycle']","{'positive': 0.01, 'neutral': 0.15, 'negative': 0.84}",0.84
7,-122.3462945,47.61177027,Officer,0,White,13,3,0,White,1,0,1,1,No,"['subject', 'Blanchard', 'intersection of Western Avenue', 'Seattle Police Officers', 'Assault', 'group of people', 'area', 'Harborview Medical Center', 'handgun', 'rounds', 'total', 'Drive', 'Shooting', 'bar closing', 'custody', 'vehicle', 'left leg', 'motorcycle']","{'positive': 0.01, 'neutral': 0.15, 'negative': 0.84}",0.84
8,-122.3872062,47.54567982,Officer,0,White,7,3,0,White,0,0,1,1,No,"['subject walking eastbound', 'duty Seattle Police Officers', 'Ave Southwest', 'employee', 'investigation of Bank Robbery', 'marked Seattle Police patrol vehicle', 'Fauntleroy Way Southwest', 'California Avenue Southwest', 'black hooded sweatshirt', 'black pants', 'Washington Federal Savings Bank', 'location', 'area', 'King County Jail', 'initial contact', 'Harborview Medical Center', 'hands', 'pockets', 'getaway car', 'left leg', 'commands', 'rounds', 'person', 'times', 'ground']","{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}",0.98
9,-122.326382,47.60733885,Officer,0,White,1,Multiple,0,Black or African American,1,0,1,1,No,"['uniformed patrol officer', 'machine pistol', 'intersection', 'group of subjects', 'small group of individuals', 'marked Seattle Police Department vehicle', 'Assault', 'Violation', 'vicinity', 'Uniform Firearms Act', 'King County Jail', 'Harborview Medical Center', 'handguns', 'Marion', 'weapon', 'gunfire', 'chest']","{'positive': 0.0, 'neutral': 0.08, 'negative': 0.92}",0.92
10,-122.3606216,47.62579703,Sergeant,0,White,38,1,0,White,1,0,1,1,No,"['subject', 'Sergeant yelling', 'duty Sergeant', 'scene', 'damage', 'DV Assault', 'jagged board', 'DV disturbance', 'marked Seattle Police Department vehicle', 'backup', 'patrol car', 'asphalt', 'state of undress', 'officers', 'King County Jail', 'middle of street', 'feet', 'custody', 'medics', 'arrival', 'West', 'ground']","{'positive': 0.01, 'neutral': 0.06, 'negative': 0.93}",0.93
