,Longitude,Latitude,Rank,Officer Gender,Officer Race,Years of SPD Service,Number of Rounds,Subject Gender,Subject Race,Subject Weapon,Fatal,On-duty,Disposition,Disciplined,Key Phrase,Sentiment,Positivity,Negativity
2,-122.3357251,47.61462023,Officer,0,White,15,1,0,White,1,1,1,1,No,"['Federal Courthouse', 'male subject', 'lobby', 'courthouse security', 'SWAT Officer', 'Patrol Officer', 'yellow backpack', 'fragmentation grenade', 'Seattle Police Officers', 'Stewart', 'verbal commands', 'secure area', 'access', 'chest', 'minutes', 'positions', 'building', 'rounds', 'scene']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",0,1
3,-122.3357251,47.61462023,Officer,0,White,18,1,0,White,1,1,1,1,No,"['Federal Courthouse', 'male subject', 'lobby', 'courthouse security', 'SWAT Officer', 'Patrol Officer', 'yellow backpack', 'fragmentation grenade', 'Seattle Police Officers', 'Stewart', 'verbal commands', 'secure area', 'access', 'chest', 'minutes', 'positions', 'building', 'rounds', 'scene']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",0,1
6,-122.3462945,47.61177027,Officer,0,Hispanic/Latino,11,1,0,White,1,0,1,1,No,"['subject', 'Blanchard', 'intersection of Western Avenue', 'Seattle Police Officers', 'Assault', 'group of people', 'area', 'Harborview Medical Center', 'handgun', 'rounds', 'total', 'Drive', 'Shooting', 'bar closing', 'custody', 'vehicle', 'left leg', 'motorcycle']","{'positive': 0.01, 'neutral': 0.15, 'negative': 0.84}",0.01,0.84
7,-122.3462945,47.61177027,Officer,0,White,13,3,0,White,1,0,1,1,No,"['subject', 'Blanchard', 'intersection of Western Avenue', 'Seattle Police Officers', 'Assault', 'group of people', 'area', 'Harborview Medical Center', 'handgun', 'rounds', 'total', 'Drive', 'Shooting', 'bar closing', 'custody', 'vehicle', 'left leg', 'motorcycle']","{'positive': 0.01, 'neutral': 0.15, 'negative': 0.84}",0.01,0.84
13,-122.3208729,47.61990775,Officer,0,Black,7,Multiple,0,White,1,1,1,1,No,"['subject', 'area of Broadway Avenue East', 'East John', 'uniformed Seattle Police Officers', 'hands visible', 'waistband', 'dispatched information', 'reports', 'fights', 'series of disturbances', 'bystanders', 'bus stop', 'legs', 'orders', 'rounds', 'gun', 'sides', 'dead', 'scene', 'chest', 'commands', 'pistol', 'revolver', 'steps', 'people']","{'positive': 0.0, 'neutral': 0.09, 'negative': 0.91}",0,0.91
14,-122.3208729,47.61990775,Officer,0,White,1,Multiple,0,White,1,1,1,1,No,"['subject', 'area of Broadway Avenue East', 'East John', 'uniformed Seattle Police Officers', 'hands visible', 'waistband', 'dispatched information', 'reports', 'fights', 'series of disturbances', 'bystanders', 'bus stop', 'legs', 'orders', 'rounds', 'gun', 'sides', 'dead', 'scene', 'chest', 'commands', 'pistol', 'revolver', 'steps', 'people']","{'positive': 0.0, 'neutral': 0.09, 'negative': 0.91}",0,0.91
17,-122.3445521,47.69309926,Officer,0,White,11,Multiple,0,White,1,1,1,1,No,"['additional officers', 'vehicle', 'plain clothes Seattle Police Officers', 'males', 'remaining subjects', 'Anti-Crime Team', 'duty', 'passenger seat', 'gunpoint', 'block of Aurora Avenue North', 'driverâ€™s window', 'knees', 'subjectsâ€™ line', 'rounds', 'dead', 'scene', 'disturbance', 'firearm', 'witnesses', 'motel', 'bumper', 'custody']","{'positive': 0.01, 'neutral': 0.08, 'negative': 0.91}",0.01,0.91
18,-122.3445521,47.69309926,Officer,0,White,7,Multiple,0,White,1,1,1,1,No,"['additional officers', 'vehicle', 'plain clothes Seattle Police Officers', 'males', 'remaining subjects', 'Anti-Crime Team', 'single gunshot wound', 'duty', 'left abdomen', 'passenger seat', 'gunpoint', 'Harborview Medical Center', 'block of Aurora Avenue North', 'driverâ€™s window', 'knees', 'subjectsâ€™ line', 'wounds', 'rounds', 'dead', 'scene', 'disturbance', 'firearm', 'witnesses', 'motel', 'bumper', 'custody']","{'positive': 0.06, 'neutral': 0.08, 'negative': 0.86}",0.06,0.86
21,-122.246725,47.594899,Sergeant,0,Asian/Pacific Islander,29,2,0,Black or African American,1,0,1,1,No,"['subject', 'Seattle Police Robbery Detectives', 'unmarked Seattle Police vehicle', 'Armed Bank Robbery', 'plain clothes', 'block', 'residential neighborhood', 'dead end driveway', 'Qualstar Credit Union', 'Mercer Island', 'emergency lights', 'right index finger', 'high rate of speed', 'attempt', 'rounds', 'Interstate', 'small handgun', 'Avenue South', 'opportunity', 'robberies']","{'positive': 0.01, 'neutral': 0.05, 'negative': 0.94}",0.01,0.94
22,-122.246725,47.594899,Detective,0,White,19,2,0,Black or African American,1,0,1,1,No,"['subject', 'Seattle Police Robbery Detectives', 'unmarked Seattle Police vehicle', 'Armed Bank Robbery', 'plain clothes', 'block', 'residential neighborhood', 'dead end driveway', 'Qualstar Credit Union', 'Mercer Island', 'emergency lights', 'right index finger', 'high rate of speed', 'attempt', 'rounds', 'Interstate', 'small handgun', 'Avenue South', 'opportunity', 'robberies']","{'positive': 0.01, 'neutral': 0.05, 'negative': 0.94}",0.01,0.94
